 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19F_natC.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   1.807E+00  7.841E-04  569.07 um    20.96 um     3.40 um  
 450.00 MeV   1.658E+00  7.049E-04  697.26 um    27.74 um     4.12 um  
 500.00 MeV   1.530E+00  6.408E-04  836.60 um    34.05 um     4.89 um  
 550.00 MeV   1.411E+00  5.878E-04  987.68 um    40.23 um     5.72 um  
 600.00 MeV   1.309E+00  5.432E-04    1.15 mm    46.42 um     6.62 um  
 650.00 MeV   1.226E+00  5.051E-04    1.33 mm    52.65 um     7.57 um  
 700.00 MeV   1.155E+00  4.723E-04    1.51 mm    58.92 um     8.58 um  
 800.00 MeV   1.036E+00  4.183E-04    1.92 mm    82.32 um    10.78 um  
 900.00 MeV   9.427E-01  3.758E-04    2.37 mm   104.05 um    13.20 um  
   1.00 GeV   8.663E-01  3.414E-04    2.86 mm   125.18 um    15.83 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  1.9678E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
