 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CAI.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7327E+00 g/cm3 = 4.7259E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  40.00 MeV   1.216E-02  5.200E-06   10.57 mm   420.78 um   397.65 um  
  45.00 MeV   1.109E-02  4.674E-06   13.05 mm   555.87 um   487.78 um  
  50.00 MeV   1.021E-02  4.248E-06   15.75 mm   683.54 um   585.54 um  
  55.00 MeV   9.477E-03  3.895E-06   18.68 mm   808.42 um   690.66 um  
  60.00 MeV   8.859E-03  3.599E-06   21.82 mm   932.52 um   802.88 um  
  65.00 MeV   8.329E-03  3.346E-06   25.17 mm     1.06 mm   921.97 um  
  70.00 MeV   7.869E-03  3.128E-06   28.73 mm     1.18 mm     1.05 mm  
  80.00 MeV   7.111E-03  2.770E-06   36.42 mm     1.63 mm     1.32 mm  
  90.00 MeV   6.510E-03  2.487E-06   44.88 mm     2.04 mm     1.61 mm  
 100.00 MeV   6.022E-03  2.259E-06   54.08 mm     2.45 mm     1.93 mm  
 110.00 MeV   5.617E-03  2.071E-06   63.98 mm     2.84 mm     2.27 mm  
 120.00 MeV   5.277E-03  1.912E-06   74.55 mm     3.24 mm     2.63 mm  
 130.00 MeV   4.985E-03  1.777E-06   85.78 mm     3.64 mm     3.01 mm  
 140.00 MeV   4.734E-03  1.661E-06   97.63 mm     4.04 mm     3.41 mm  
 150.00 MeV   4.514E-03  1.559E-06  110.08 mm     4.44 mm     3.82 mm  
 160.00 MeV   4.320E-03  1.469E-06  123.12 mm     4.85 mm     4.25 mm  
 170.00 MeV   4.148E-03  1.390E-06  136.72 mm     5.25 mm     4.70 mm  
 180.00 MeV   3.995E-03  1.319E-06  150.87 mm     5.66 mm     5.16 mm  
 200.00 MeV   3.732E-03  1.197E-06  180.70 mm     7.14 mm     6.13 mm  
 225.00 MeV   3.467E-03  1.074E-06  220.73 mm     9.20 mm     7.41 mm  
 250.00 MeV   3.253E-03  9.753E-07  263.61 mm    11.11 mm     8.76 mm  
 275.00 MeV   3.078E-03  8.934E-07  309.11 mm    12.94 mm    10.18 mm  
 300.00 MeV   2.932E-03  8.246E-07  357.04 mm    14.71 mm    11.65 mm  
 325.00 MeV   2.808E-03  7.660E-07  407.23 mm    16.44 mm    13.17 mm  
 350.00 MeV   2.701E-03  7.154E-07  459.52 mm    18.14 mm    14.73 mm  
 375.00 MeV   2.609E-03  6.713E-07  513.77 mm    19.81 mm    16.34 mm  
 400.00 MeV   2.529E-03  6.325E-07  569.83 mm    21.46 mm    17.97 mm  
 450.00 MeV   2.396E-03  5.673E-07  686.87 mm    27.31 mm    21.33 mm  
 500.00 MeV   2.290E-03  5.147E-07  809.86 mm    32.60 mm    24.77 mm  
 550.00 MeV   2.205E-03  4.713E-07  938.06 mm    37.52 mm    28.29 mm  
 600.00 MeV   2.135E-03  4.348E-07    1.07 m     42.17 mm    31.85 mm  
