============================== SRIM-2006.02 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ni(1.68 GeV) ==> Mylar(  5 um) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  121 28 .1671061E+10   5011433E-02  .7200E+01  .3627E+01   .9999999  .0000176  .0001376
T  122 28 .1671416E+10   5014867E-02 -.3075E+00  .7629E+01   .9999999 -.0000127  .0000743
T  123 28 .1671150E+10   5048203E-02 -.7525E+00 -.9023E+01   .9999999 -.0000645 -.0001784
T  124 28 .1671250E+10   5000502E-02  .2013E+02 -.1953E-01   .9999999  .0004766 -.0000441
T  125 28 .1671407E+10   5017990E-02 -.7912E+01 -.8531E+00   .9999999 -.0003850  .0001137
T  126 28 .1670696E+10   5005957E-02  .2977E+01  .1766E+01   .9999999 -.0000879  .0000152
T  127 28 .1671165E+10   5030515E-02  .3083E+01 -.3863E+01   .9999999  .0001098 -.0001419
T  128 28 .1671440E+10   5019600E-02 -.5293E+01  .2131E+01   .9999999 -.0003024 -.0000454
T  129 28 .1671487E+10   5014581E-02 -.8727E+01 -.2735E+00   .9999999 -.0003346 -.0000288
T  130 28 .1670825E+10   5032682E-02 -.9280E+01 -.2076E+01   .9999999 -.0001876  .0000369
T  131 28 .1671188E+10   5032831E-02  .1448E+02 -.9218E+01   .9999999  .0004243 -.0002643
T  132 28 .1670909E+10   5027321E-02  .2679E+01  .2653E+01   .9999999  .0003252  .0000854
T  133 28 .1671090E+10   5007137E-02  .1193E+02 -.1183E+02   .9999998  .0003323 -.0004598
T  134 28 .1671241E+10   5000446E-02 -.4149E+01  .8819E+01   .9999999 -.0003346  .0003612
T  135 28 .1671347E+10   5030230E-02  .2743E+00  .7840E+01   .9999999 -.0000912  .0002034
T  136 28 .1670956E+10   5010501E-02  .9411E+00  .8088E+01   .9999999  .0001954  .0001944
T  137 28 .1671147E+10   5003718E-02 -.5129E+01  .9950E+01   .9999999  .0000011  .0001431
T  138 28 .1670936E+10   5020867E-02 -.4625E+01  .1511E+02   .9999998 -.0001849  .0005769
T  139 28 .1670790E+10   5008028E-02 -.1897E+01 -.5474E+01   .9999999  .0000119 -.0002858
T  140 28 .1671009E+10   5032660E-02 -.2415E+01  .1351E+02   .9999999 -.0000610  .0001683
T  141 28 .1670606E+10   5005157E-02  .1807E+00 -.7032E+01   .9999999 -.0000656 -.0003031
T  142 28 .1671135E+10   5000637E-02  .1627E+01  .1423E+02   .9999999  .0000121  .0003484
T  143 28 .1671166E+10   5003258E-02  .2489E+01 -.1412E+01   .9999999 -.0002174 -.0000960
T  144 28 .1671300E+10   5012184E-02 -.1193E+01  .3720E-01   .9999999  .0000239 -.0000273
T  145 28 .1670967E+10   5019897E-02 -.9788E+01 -.5415E+01   .9999999 -.0002933 -.0002338
T  146 28 .1671631E+10   5016931E-02  .4456E+01  .6583E+00   .9999999  .0001630  .0000003
T  147 28 .1671169E+10   5014991E-02  .4031E+01 -.1963E+02   .9999999  .0000380 -.0005158
T  148 28 .1671077E+10   5004938E-02  .1220E+02 -.5280E+01   .9999999  .0004275 -.0001330
T  149 28 .1671294E+10   5023504E-02 -.1019E+02 -.6648E+01   .9999999 -.0001442 -.0001145
T  150 28 .1671177E+10   5013485E-02  .1300E+01 -.7392E+00   .9999999 -.0000638  .0000027
T  151 28 .1671027E+10   5002036E-02 -.2591E+00  .3126E+01   .9999999  .0000758  .0001238
T  152 28 .1671334E+10   5036104E-02  .2588E+01 -.1378E+02   .9999999  .0001244 -.0005167
T  153 28 .1671361E+10   5013329E-02 -.3196E+01 -.3162E+01   .9999999 -.0002809 -.0001899
T  154 28 .1671136E+10   5004534E-02  .1416E+01 -.5978E+01   .9999999  .0001139 -.0001902
T  155 28 .1671221E+10   5004232E-02 -.2537E+01  .4104E+01   .9999999 -.0000107  .0000427
T  156 28 .1670806E+10   5020117E-02 -.6021E+01  .1680E+01   .9999999 -.0002198  .0001409
T  157 28 .1671088E+10   5003697E-02  .5724E+01  .3155E+01   .9999999  .0002600 -.0002230
T  158 28 .1671226E+10   5027109E-02 -.1010E+02  .4040E+00   .9999999 -.0001037 -.0000846
T  159 28 .1671078E+10   5041077E-02  .8529E+01  .4715E+01   .9999999  .0001817  .0000697
T  160 28 .1671086E+10   5025946E-02  .7512E+01  .1190E+02   .9999999  .0002487  .0004271
T  161 28 .1670985E+10   5014306E-02  .3481E+01  .3467E+00   .9999999  .0004194  .0002318
T  162 28 .1671332E+10   5018475E-02  .1063E+01 -.3142E+02   .9999997  .0000433 -.0007555
T  163 28 .1671365E+10   5004928E-02 -.4632E+01 -.3120E+01   .9999999 -.0002295 -.0000329
T  164 28 .1670767E+10   5015116E-02 -.1701E+01  .3859E+01   .9999999 -.0000405  .0000654
T  165 28 .1671172E+10   5001059E-02 -.2216E+01 -.1350E+01   .9999999 -.0000552  .0000144
T  166 28 .1670958E+10   5009458E-02 -.3068E+01 -.7920E+01   .9999999 -.0002350 -.0003200
T  167 28 .1671469E+10   5004891E-02 -.1442E+01 -.4081E+01   .9999999 -.0000632 -.0001895
T  168 28 .1671513E+10   5032314E-02  .1115E+02 -.2435E+01   .9999999  .0002706 -.0002517
T  169 28 .1671264E+10   5012884E-02 -.8211E+01  .5904E+00   .9999999 -.0004600 -.0002446
T  170 28 .1671361E+10   5009934E-02 -.1290E+02  .5396E+01   .9999998 -.0007004  .0000619
T  171 28 .1671248E+10   5017984E-02  .6068E+01  .4801E+01   .9999999  .0001554  .0002638
T  172 28 .1671120E+10   5033827E-02  .8745E+01 -.7994E+01   .9999999  .0001624 -.0002226
T  173 28 .1671104E+10   5028796E-02 -.1626E+01  .6999E+01   .9999998  .0001904  .0005152
T  174 28 .1670869E+10   5008472E-02  .5817E+01 -.1439E+01   .9999999 -.0002012 -.0001209
T  175 28 .1671104E+10   5029341E-02 -.5956E+01  .1648E+02   .9999998 -.0003347  .0005444
T  176 28 .1670999E+10   5007332E-02  .3154E+00  .1925E+01   .9999999 -.0000412  .0000275
T  177 28 .1670946E+10   5013487E-02 -.9233E+01  .2613E+01   .9999999 -.0002658  .0000020
T  178 28 .1671503E+10   5010435E-02 -.1483E+01  .3204E+01   .9999999 -.0000938  .0002160
T  179 28 .1671164E+10   5017663E-02 -.1657E+01  .5516E+01   .9999999 -.0000290  .0002622
T  180 28 .1671580E+10   5009713E-02 -.6281E+01 -.4676E+01   .9999999 -.0000718 -.0003042
T  181 28 .1671413E+10   5020994E-02 -.3122E+01 -.7184E+00   .9999999 -.0001623 -.0000080
T  182 28 .1670849E+10   5024248E-02 -.5660E+00 -.9014E+01   .9999999  .0000778 -.0003611
T  183 28 .1670943E+10   5012292E-02  .3234E+01 -.2364E+01   .9999999 -.0000177 -.0000994
T  184 28 .1671225E+10   5006616E-02  .9601E+00  .5855E+01   .9999999  .0000838  .0000615
T  185 28 .1671171E+10   5017589E-02  .3401E+01  .5867E+01   .9999999 -.0000236  .0001638
T  186 28 .1671256E+10   5015885E-02 -.3586E+01  .4417E+01   .9999999 -.0001526  .0001189
T  187 28 .1671256E+10   5009552E-02  .6826E+01  .4299E+01   .9999999  .0000730  .0001567
T  188 28 .1671246E+10   5005555E-02  .9978E+00 -.3694E+01   .9999999  .0002648 -.0001844
T  189 28 .1671389E+10   5016271E-02  .1999E+02  .8888E+01   .9999999  .0004127  .0000928
T  190 28 .1671051E+10   5002491E-02  .2744E+01 -.1151E+01   .9999999  .0002606 -.0001267
T  191 28 .1671264E+10   5015862E-02  .1139E+01 -.5228E+00   .9999999 -.0000313 -.0000161
T  192 28 .1671157E+10   5026360E-02  .1105E+02 -.2386E+01   .9999999  .0003644 -.0001436
T  193 28 .1671587E+10   5021330E-02  .1183E+01 -.5294E+01   .9999999  .0000463 -.0001234
T  194 28 .1671271E+10   5026838E-02 -.1806E+01  .5160E+01   .9999999 -.0001365  .0002489
T  195 28 .1670966E+10   5025719E-02 -.2893E+01 -.9065E+00   .9999999  .0000690  .0000795
T  196 28 .1671121E+10   5023820E-02 -.1689E+02 -.8833E+01   .9999998 -.0005500 -.0004371
T  197 28 .1671184E+10   5000917E-02 -.4135E+01  .1349E+01   .9999999 -.0001057 -.0000090
T  198 28 .1671483E+10   5017789E-02 -.1310E+02 -.4157E+00   .9999998 -.0006023 -.0000238
T  199 28 .1671398E+10   5004751E-02  .4040E+01  .9221E+01   .9999999  .0000946  .0003200
T  200 28 .1671233E+10   5005663E-02  .1673E+01 -.6491E+01   .9999999  .0001304 -.0001791
T  201 28 .1671426E+10   5048790E-02 -.4658E+01  .2497E+01   .9999999 -.0001346  .0000214
T  202 28 .1670703E+10   5003187E-02 -.1079E+01  .7755E+01   .9999999  .0001049  .0003722
T  203 28 .1671395E+10   5028691E-02  .2907E+01 -.7908E+01   .9999999 -.0000198 -.0002332
T  204 28 .1671441E+10   5030877E-02  .2331E+01  .8533E-01   .9999999  .0000099 -.0001196
T  205 28 .1671377E+10   5015200E-02 -.2982E+01  .2454E+01   .9999999 -.0002299  .0000569
T  206 28 .1670848E+10   5033642E-02 -.5492E-01  .7140E+01   .9999999  .0000769  .0002663
T  207 28 .1671323E+10   5004719E-02  .2653E+01 -.4429E+01   .9999999 -.0001449 -.0001492
T  208 28 .1671304E+10   5016093E-02  .4189E+01 -.9456E+00   .9999999  .0000845 -.0001332
T  209 28 .1670960E+10   5002590E-02 -.3391E+01  .5650E+01   .9999999 -.0001700  .0001916
T  210 28 .1671179E+10   5009596E-02 -.6266E+00 -.2506E+00   .9999999 -.0002168 -.0000277
T  211 28 .1671115E+10   5009748E-02  .1839E+01  .1811E+02   .9999999 -.0000905  .0004002
T  212 28 .1671356E+10   5025163E-02 -.9848E+01  .9334E+01   .9999999  .0000408  .0002270
T  213 28 .1671423E+10   5014794E-02  .4525E+02  .2384E+02   .9999992  .0011763  .0005512
T  214 28 .1671182E+10   5026714E-02  .7631E+01  .1539E+02   .9999999  .0001031  .0002449
T  215 28 .1671221E+10   5002215E-02 -.5817E+00 -.1967E+01   .9999999 -.0000443  .0000739
T  216 28 .1670918E+10   5013568E-02 -.4329E+01 -.1513E+01   .9999999 -.0000219 -.0000312
T  217 28 .1671386E+10   5037382E-02 -.4717E+01  .4142E+01   .9999999 -.0002111  .0001316
T  218 28 .1670765E+10   5007399E-02  .1535E+02 -.2631E+01   .9999997  .0007016 -.0001358
T  219 28 .1671310E+10   5004878E-02 -.5388E+01 -.3867E+01   .9999999 -.0002260  .0000168
T  220 28 .1670765E+10   5015548E-02  .8132E+01  .2124E+01   .9999999  .0002318  .0000501
T  221 28 .1670944E+10   5031072E-02 -.2134E+01 -.2211E+02   .9999999 -.0000346 -.0004564
T  222 28 .1671163E+10   5033875E-02  .1067E+01  .3237E+01   .9999999 -.0001836  .0001436
T  223 28 .1671026E+10   5021040E-02  .9175E+01 -.1106E+01   .9999999  .0002899 -.0001141
T  224 28 .1670832E+10   5045640E-02  .4529E+01 -.2288E+01   .9999999  .0002316 -.0003560
T  225 28 .1671093E+10   5026075E-02  .1219E+01  .3973E+01   .9999999 -.0002084  .0001007
T  226 28 .1671220E+10   5032264E-02  .4516E+01 -.6329E+00   .9999999  .0001967 -.0000837
T  227 28 .1670863E+10   5003047E-02 -.5679E+00  .3255E+01   .9999999 -.0001284  .0001260
T  228 28 .1671008E+10   5012147E-02 -.8014E+00  .1075E+02   .9999999  .0000292  .0003563
T  229 28 .1670989E+10   5001655E-02 -.1951E+02  .2380E+01   .9999999 -.0004649 -.0000978
T  230 28 .1670793E+10   5002589E-02 -.9503E+00 -.1689E+00   .9999999  .0000002  .0001556
T  231 28 .1670879E+10   5026299E-02 -.3527E+01 -.7260E+01   .9999999 -.0002481 -.0001912
T  232 28 .1671021E+10   5020663E-02  .6285E+01 -.4593E+01   .9999999  .0001018 -.0002123
