 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_C.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  80.00 MeV   3.213E+00  1.657E-03   72.35 um     2.78 um     6185 A   
  90.00 MeV   2.945E+00  1.492E-03   86.77 um     3.45 um     7139 A   
 100.00 MeV   2.719E+00  1.358E-03  102.45 um     4.11 um     8172 A   
 110.00 MeV   2.526E+00  1.247E-03  119.39 um     4.76 um     9283 A   
 120.00 MeV   2.360E+00  1.154E-03  137.56 um     5.42 um     1.05 um  
 130.00 MeV   2.216E+00  1.074E-03  156.97 um     6.08 um     1.17 um  
 140.00 MeV   2.090E+00  1.005E-03  177.59 um     6.75 um     1.31 um  
 150.00 MeV   1.979E+00  9.446E-04  199.41 um     7.43 um     1.45 um  
 160.00 MeV   1.881E+00  8.914E-04  222.41 um     8.12 um     1.60 um  
 170.00 MeV   1.793E+00  8.441E-04  246.57 um     8.81 um     1.75 um  
 180.00 MeV   1.714E+00  8.018E-04  271.88 um     9.52 um     1.92 um  
 200.00 MeV   1.579E+00  7.292E-04  325.83 um    12.22 um     2.27 um  
 225.00 MeV   1.443E+00  6.558E-04  399.34 um    16.06 um     2.74 um  
 250.00 MeV   1.331E+00  5.963E-04  479.41 um    19.67 um     3.25 um  
 275.00 MeV   1.238E+00  5.471E-04  565.82 um    23.18 um     3.80 um  
 300.00 MeV   1.159E+00  5.057E-04  658.43 um    26.65 um     4.38 um  
 325.00 MeV   1.090E+00  4.704E-04  757.15 um    30.11 um     5.00 um  
 350.00 MeV   1.028E+00  4.398E-04  861.96 um    33.59 um     5.66 um  
 375.00 MeV   9.724E-01  4.132E-04  972.92 um    37.10 um     6.35 um  
 400.00 MeV   9.211E-01  3.897E-04    1.09 mm    40.66 um     7.08 um  
 450.00 MeV   8.281E-01  3.502E-04    1.34 mm    54.33 um     8.65 um  
 500.00 MeV   7.598E-01  3.182E-04    1.62 mm    67.28 um    10.37 um  
