 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 19, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_natMg.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7366E+00 g/cm3 = 4.3027E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  22.50 MeV   2.193E-01  1.253E-04  345.78 um    14.17 um     7.58 um  
  25.00 MeV   2.025E-01  1.141E-04  414.02 um    17.27 um     8.97 um  
  27.50 MeV   1.884E-01  1.048E-04  487.64 um    20.30 um    10.46 um  
  30.00 MeV   1.763E-01  9.692E-05  566.56 um    23.30 um    12.06 um  
  32.50 MeV   1.658E-01  9.023E-05  650.69 um    26.32 um    13.75 um  
  35.00 MeV   1.566E-01  8.444E-05  739.95 um    29.35 um    15.53 um  
  37.50 MeV   1.484E-01  7.937E-05  834.28 um    32.41 um    17.40 um  
  40.00 MeV   1.412E-01  7.491E-05  933.61 um    35.51 um    19.37 um  
  45.00 MeV   1.288E-01  6.739E-05    1.15 mm    46.93 um    23.57 um  
  50.00 MeV   1.186E-01  6.130E-05    1.38 mm    57.67 um    28.13 um  
  55.00 MeV   1.101E-01  5.626E-05    1.63 mm    68.15 um    33.02 um  
  60.00 MeV   1.028E-01  5.202E-05    1.90 mm    78.55 um    38.26 um  
  65.00 MeV   9.653E-02  4.840E-05    2.19 mm    88.96 um    43.82 um  
  70.00 MeV   9.105E-02  4.527E-05    2.50 mm    99.45 um    49.70 um  
  80.00 MeV   8.192E-02  4.012E-05    3.16 mm   137.86 um    62.42 um  
  90.00 MeV   7.462E-02  3.607E-05    3.90 mm   173.66 um    76.37 um  
 100.00 MeV   6.864E-02  3.278E-05    4.70 mm   208.56 um    91.51 um  
 110.00 MeV   6.364E-02  3.007E-05    5.57 mm   243.26 um   107.81 um  
 120.00 MeV   5.940E-02  2.779E-05    6.51 mm   278.09 um   125.25 um  
 130.00 MeV   5.575E-02  2.584E-05    7.51 mm   313.24 um   143.79 um  
 140.00 MeV   5.258E-02  2.416E-05    8.57 mm   348.79 um   163.41 um  
 150.00 MeV   4.979E-02  2.269E-05    9.70 mm   384.79 um   184.09 um  
 160.00 MeV   4.732E-02  2.139E-05   10.88 mm   421.28 um   205.81 um  
 170.00 MeV   4.512E-02  2.024E-05   12.13 mm   458.28 um   228.54 um  
 180.00 MeV   4.314E-02  1.922E-05   13.43 mm   495.78 um   252.27 um  
 200.00 MeV   3.973E-02  1.746E-05   16.21 mm   636.09 um   302.67 um  
 225.00 MeV   3.625E-02  1.568E-05   20.00 mm   836.03 um   370.96 um  
 250.00 MeV   3.342E-02  1.424E-05   24.14 mm     1.02 mm   444.90 um  
 275.00 MeV   3.106E-02  1.305E-05   28.60 mm     1.21 mm   524.25 um  
 300.00 MeV   2.908E-02  1.205E-05   33.39 mm     1.39 mm   608.81 um  
 325.00 MeV   2.737E-02  1.120E-05   38.49 mm     1.57 mm   698.37 um  
 350.00 MeV   2.589E-02  1.047E-05   43.89 mm     1.75 mm   792.75 um  
 375.00 MeV   2.460E-02  9.826E-06   49.59 mm     1.94 mm   891.78 um  
 400.00 MeV   2.346E-02  9.261E-06   55.58 mm     2.12 mm   995.29 um  
 450.00 MeV   2.154E-02  8.313E-06   68.38 mm     2.80 mm     1.22 mm  
 500.00 MeV   1.998E-02  7.546E-06   82.26 mm     3.43 mm     1.45 mm  
 550.00 MeV   1.868E-02  6.913E-06   97.15 mm     4.04 mm     1.70 mm  
 600.00 MeV   1.760E-02  6.382E-06  113.02 mm     4.64 mm     1.97 mm  
 650.00 MeV   1.667E-02  5.929E-06  129.83 mm     5.22 mm     2.25 mm  
 700.00 MeV   1.587E-02  5.538E-06  147.52 mm     5.81 mm     2.54 mm  
 800.00 MeV   1.456E-02  4.897E-06  185.39 mm     7.93 mm     3.15 mm  
 900.00 MeV   1.352E-02  4.393E-06  226.42 mm     9.85 mm     3.81 mm  
   1.00 GeV   1.270E-02  3.986E-06  270.34 mm    11.68 mm     4.51 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7365E+01                 eV / Angstrom 
  1.7365E+02                keV / micron   
  1.7365E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.0359E+01                 eV / (1E15 atoms/cm2)
  3.6726E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
