 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19Ne_natC.txt

 Ion = Neon [10] , Mass = 19.002 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 500.00 MeV   1.863E+00  7.825E-04  683.15 um    27.76 um     3.99 um  
 550.00 MeV   1.725E+00  7.178E-04  806.96 um    32.84 um     4.67 um  
 600.00 MeV   1.606E+00  6.634E-04  940.30 um    37.89 um     5.40 um  
 650.00 MeV   1.505E+00  6.170E-04    1.08 mm    42.96 um     6.17 um  
 700.00 MeV   1.418E+00  5.769E-04    1.23 mm    48.06 um     7.00 um  
 800.00 MeV   1.273E+00  5.110E-04    1.57 mm    67.10 um     8.78 um  
 900.00 MeV   1.158E+00  4.591E-04    1.93 mm    84.77 um    10.74 um  
   1.00 GeV   1.064E+00  4.171E-04    2.33 mm   101.97 um    12.88 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  1.8070E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
