 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\14C_12C.txt

 Ion = Carbon [6] , Mass = 14.003 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 300.00 MeV   7.913E-01  3.538E-04  952.59 um    38.94 um     6.56 um  
 325.00 MeV   7.436E-01  3.290E-04    1.10 mm    44.02 um     7.52 um  
 350.00 MeV   7.008E-01  3.076E-04    1.25 mm    49.13 um     8.53 um  
 375.00 MeV   6.617E-01  2.889E-04    1.41 mm    54.31 um     9.59 um  
 400.00 MeV   6.253E-01  2.725E-04    1.59 mm    59.59 um    10.71 um  
 450.00 MeV   5.648E-01  2.448E-04    1.96 mm    79.72 um    13.14 um  
 500.00 MeV   5.182E-01  2.224E-04    2.37 mm    98.70 um    15.79 um  
 550.00 MeV   4.795E-01  2.039E-04    2.82 mm   117.17 um    18.66 um  
 600.00 MeV   4.469E-01  1.883E-04    3.29 mm   135.49 um    21.73 um  
 650.00 MeV   4.189E-01  1.751E-04    3.81 mm   153.80 um    25.01 um  
 700.00 MeV   3.946E-01  1.636E-04    4.35 mm   172.21 um    28.49 um  
 800.00 MeV   3.547E-01  1.448E-04    5.54 mm   240.72 um    36.03 um  
 900.00 MeV   3.230E-01  1.300E-04    6.85 mm   304.15 um    44.32 um  
   1.00 GeV   2.974E-01  1.181E-04    8.28 mm   365.70 um    53.32 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  3.1257E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
