============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.8 MeV) ==> Polyethylene( 7527 A) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 1464  9 .1267395E+08   7550473E-03 -.8377E+00 -.3817E+01   .9999995 -.0005258 -.0008413
T 1465  9 .1267746E+08   7534127E-03  .2212E+01  .1335E+02   .9999919  .0012943  .0038213
T 1466  9 .1271643E+08   7532681E-03  .1771E+01  .1121E+02   .9999981 -.0017654  .0008152
T 1467  9 .1270692E+08   7579969E-03  .7677E+01  .1690E+02   .9999758 -.0030040  .0062799
T 1468  9 .1269089E+08   7546883E-03 -.1351E+02 -.1379E+01   .9999965 -.0025582 -.0006839
T 1469  9 .1269230E+08   7563525E-03 -.2602E+01  .1430E+01   .9999988 -.0014729  .0005744
T 1470  9 .1268223E+08   7555569E-03 -.3131E+02  .2316E+02   .9999876 -.0044554  .0022293
T 1471  9 .1267380E+08   7576078E-03 -.7674E+01  .2747E+01   .9999923 -.0035010  .0017722
T 1472  9 .1271453E+08   7528114E-03 -.2096E+01  .1399E+01   .9999994 -.0010366 -.0004259
T 1473  9 .1267738E+08   7546793E-03 -.4706E+01  .1136E+02   .9999988 -.0005473  .0014737
T 1474  9 .1269483E+08   7527602E-03  .8135E+00  .5781E+01   .9999990 -.0003269  .0014113
T 1475  9 .1266808E+08   7560411E-03  .5680E+01 -.1071E+02   .9999846  .0050856 -.0022060
T 1476  9 .1270603E+08   7528970E-03  .4504E+01 -.1777E+01   .9999982  .0011085 -.0015200
T 1477  9 .1270152E+08   7562478E-03  .1288E+02 -.2034E+02   .9999974  .0022721 -.0000034
T 1478  9 .1267697E+08   7531000E-03  .2701E+01  .1214E+02   .9999948  .0011081  .0030375
T 1479  9 .1269803E+08   7531781E-03 -.8909E+01  .3183E+01   .9999963 -.0027260  .0002592
T 1480  9 .1269218E+08   7561647E-03 -.8697E+01 -.5676E+01   .9999951 -.0012902 -.0028655
T 1481  9 .1267713E+08   7539071E-03 -.3445E+01 -.3829E+01   .9999993 -.0010344 -.0004832
T 1482  9 .1267914E+08   7568380E-03 -.1385E+02 -.1060E+02   .9999858 -.0046126 -.0026786
T 1483  9 .1270954E+08   7542659E-03  .1461E+02 -.1833E+02   .9999912  .0025664 -.0033061
T 1484  9 .1267031E+08   7537810E-03 -.5242E+01 -.1356E+01   .9999988 -.0014651  .0003974
T 1485  9 .1269151E+08   7585582E-03  .2580E+02 -.3008E+01   .9999907  .0042845  .0003869
T 1486  9 .1266517E+08   7528788E-03 -.7271E+01 -.4198E+01   .9999989 -.0011998 -.0008427
T 1487  9 .1265980E+08   7580110E-03  .2638E+00 -.1976E+02   .9999969 -.0003198 -.0024769
T 1488  9 .1268264E+08   7585790E-03 -.1094E+01 -.8106E+00   .9999998  .0005711  .0003473
T 1489  9 .1273391E+08   7527709E-03 -.2281E+02 -.1273E+02   .9999852 -.0045733 -.0029324
T 1490  9 .1269991E+08   7529039E-03  .1226E+02  .4143E+00   .9999970  .0024401  .0002689
T 1491  9 .1265005E+08   7531558E-03 -.9255E+01 -.4119E+01   .9999966 -.0020416 -.0016450
T 1492  9 .1270358E+08   7557611E-03  .1789E+02  .1093E+01   .9999906  .0042033  .0010648
T 1493  9 .1269412E+08   7535869E-03 -.6735E+01  .6547E+01   .9999978 -.0014705  .0014931
T 1494  9 .1268395E+08   7556758E-03  .1516E+02  .7733E+01   .9999975  .0017874  .0013214
T 1495  9 .1271606E+08   7573768E-03  .1320E+02  .5208E+01   .9999936  .0031991  .0015849
T 1496  9 .1267509E+08   7562189E-03  .4777E+01  .1014E+02   .9999969  .0010483  .0022382
T 1497  9 .1268886E+08   7550060E-03  .3589E+01  .9257E+01   .9999921  .0018823  .0035134
T 1498  9 .1267608E+08   7556276E-03 -.5026E+01 -.1381E+01   .9999942  .0020221  .0027527
T 1499  9 .1268990E+08   7544742E-03 -.1076E+01 -.8628E+00   .9999961  .0027454 -.0004457
T 1500  9 .1270974E+08   7536708E-03  .5486E+01 -.9991E+00   .9999990  .0014108  .0001716
T 1501  9 .1269757E+08   7577935E-03  .5679E+01  .1495E+02   .9999998 -.0004268  .0005360
T 1502  9 .1268059E+08   7584974E-03 -.3503E+01 -.2392E+01   .9999179  .0110959  .0064077
T 1503  9 .1270579E+08   7539784E-03 -.3004E+01 -.1604E+02   .9999885 -.0014051 -.0045948
T 1504  9 .1271775E+08   7555113E-03 -.2446E+02  .6834E+00   .9999854 -.0049694  .0021319
T 1505  9 .1267632E+08   7529908E-03  .3456E+01  .3746E+01   .9999991  .0011519  .0007399
T 1506  9 .1268765E+08   7534627E-03 -.1825E+02 -.1658E+02   .9999886 -.0009420 -.0046829
T 1507  9 .1269636E+08   7585253E-03  .8450E+01 -.1471E+01   .9999975  .0021283 -.0007418
T 1508  9 .1271701E+08   7569120E-03 -.1128E+02  .2436E+02   .9999857 -.0031239  .0043345
T 1509  9 .1269044E+08   7551640E-03  .4303E+01 -.1445E+02   .9999911  .0010737 -.0040716
T 1510  9 .1265570E+08   7537024E-03  .5926E+01 -.2187E+01   .9999972  .0023420 -.0001887
T 1511  9 .1271489E+08   7559657E-03 -.1014E+02  .1140E+01   .9999987 -.0015802  .0002289
T 1512  9 .1269855E+08   7542410E-03  .2573E+01 -.3450E+01   .9999989  .0010198 -.0010988
T 1513  9 .1272706E+08   7549848E-03  .1187E+02 -.5433E+00   .9999938  .0030810  .0016770
T 1514  9 .1268292E+08   7574923E-03  .1321E+02 -.1459E+01   .9999968  .0020950  .0013834
T 1515  9 .1262632E+08   7528297E-03 -.2698E+01 -.9791E+01   .9999981  .0016478 -.0009938
T 1516  9 .1268824E+08   7538211E-03 -.6684E+01  .6055E+01   .9999945 -.0033051 -.0003018
T 1517  9 .1270075E+08   7557753E-03  .3467E+01  .1023E+01   .9999975 -.0021951 -.0004658
T 1518  9 .1268666E+08   7552027E-03 -.4141E+01 -.5784E+01   .9999957 -.0007612 -.0028408
T 1519  9 .1267568E+08   7542182E-03  .4131E+01  .1209E+01   .9999986 -.0005671  .0015977
T 1520  9 .1267217E+08   7535097E-03 -.5224E+01 -.6169E+01   .9999992 -.0012948  .0000190
T 1521  9 .1268126E+08   7596602E-03  .1432E+01  .1061E+02   .9999985 -.0002074  .0017441
T 1522  9 .1265370E+08   7567733E-03 -.7751E+01 -.1919E+01   .9999972 -.0021259 -.0010436
T 1523  9 .1270545E+08   7530313E-03 -.1150E+02 -.5598E+01   .9999983 -.0018209  .0000340
T 1524  9 .1268726E+08   7534033E-03  .6638E+01  .2667E+01   .9999957  .0004819  .0028849
