============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(13.7 MeV) ==> Layer 1( 2.13 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   79  9 .8166131E+07   2134078E-02  .2369E+02 -.1632E+03   .9999767 -.0008525 -.0067744
T   80  9 .8154427E+07   2134180E-02  .1682E+03  .6831E+02   .9998013  .0144014  .0137806
T   81  9 .8166486E+07   2145871E-02 -.4604E+02 -.9040E+02   .9998979 -.0105396 -.0096493
T   82  9 .8074036E+07   2141571E-02  .5988E+02 -.3542E+02   .9999773  .0010195 -.0066533
T   83  9 .8244720E+07   2137877E-02  .4339E+02  .8318E+02   .9999060  .0136967 -.0006292
T   84  9 .8204234E+07   2133440E-02  .7124E+02  .6861E+01   .9999996 -.0009039 -.0002409
T   85  9 .8181390E+07   2130572E-02  .1095E+03  .3706E+02   .9999467  .0069184  .0076663
T   86  9 .8095890E+07   2137030E-02  .1526E+03 -.3723E+03   .9998332  .0027552 -.0180524
T   87  9 .8292317E+07   2132213E-02 -.6882E+02  .1630E+03   .9998004 -.0097755  .0174224
T   88  9 .8212912E+07   2144453E-02 -.3691E+01 -.1947E+02   .9999924  .0038710 -.0003571
T   89  9 .8077574E+07   2131249E-02  .8438E+02 -.4133E+02   .9998550  .0170222 -.0005058
