 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 11, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\15O_LiF.txt

 Ion = Oxygen [8] , Mass = 15.003 amu

 Target Density =  2.6400E+00 g/cm3 = 1.2258E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  55.00 MeV   4.545E+00  2.529E-03   34.04 um     1.18 um     4623 A   
  60.00 MeV   4.305E+00  2.342E-03   38.32 um     1.33 um     4919 A   
  65.00 MeV   4.090E+00  2.181E-03   42.83 um     1.47 um     5233 A   
  70.00 MeV   3.897E+00  2.043E-03   47.58 um     1.62 um     5566 A   
  80.00 MeV   3.564E+00  1.815E-03   57.74 um     2.17 um     6286 A   
  90.00 MeV   3.289E+00  1.634E-03   68.80 um     2.68 um     7078 A   
 100.00 MeV   3.058E+00  1.488E-03   80.74 um     3.17 um     7938 A   
 110.00 MeV   2.861E+00  1.367E-03   93.55 um     3.66 um     8864 A   
 120.00 MeV   2.692E+00  1.265E-03  107.19 um     4.14 um     9854 A   
 130.00 MeV   2.544E+00  1.178E-03  121.67 um     4.63 um     1.09 um  
 140.00 MeV   2.414E+00  1.102E-03  136.95 um     5.11 um     1.20 um  
 150.00 MeV   2.297E+00  1.036E-03  153.03 um     5.60 um     1.32 um  
 160.00 MeV   2.193E+00  9.778E-04  169.90 um     6.10 um     1.44 um  
 170.00 MeV   2.099E+00  9.261E-04  187.56 um     6.60 um     1.57 um  
 180.00 MeV   2.012E+00  8.798E-04  205.98 um     7.10 um     1.70 um  
 200.00 MeV   1.860E+00  8.004E-04  245.14 um     9.02 um     1.98 um  
 225.00 MeV   1.699E+00  7.200E-04  298.41 um    11.77 um     2.36 um  
 250.00 MeV   1.563E+00  6.548E-04  356.52 um    14.38 um     2.78 um  
