 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 07, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_CAI.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7327E+00 g/cm3 = 4.7259E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    013.08    015.98   
     Mg     12    005.61    006.18   
     Si     14    010.84    013.79   
     Ca     20    011.59    021.04   
     Fe     26    000.19    000.48   
      O      8    058.69    042.53   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 150.00 MeV   5.107E-02  2.295E-05    9.45 mm   375.52 um   179.94 um  
 160.00 MeV   4.853E-02  2.164E-05   10.61 mm   411.23 um   201.26 um  
 170.00 MeV   4.626E-02  2.048E-05   11.83 mm   447.43 um   223.59 um  
 180.00 MeV   4.422E-02  1.944E-05   13.10 mm   484.13 um   246.90 um  
 200.00 MeV   4.071E-02  1.766E-05   15.82 mm   621.47 um   296.44 um  
 225.00 MeV   3.714E-02  1.586E-05   19.53 mm   817.20 um   363.59 um  
 250.00 MeV   3.423E-02  1.441E-05   23.57 mm     1.00 mm   436.33 um  
 275.00 MeV   3.181E-02  1.320E-05   27.94 mm     1.18 mm   514.43 um  
 300.00 MeV   2.977E-02  1.219E-05   32.63 mm     1.36 mm   597.68 um  
 325.00 MeV   2.802E-02  1.133E-05   37.62 mm     1.54 mm   685.89 um  
 350.00 MeV   2.650E-02  1.059E-05   42.91 mm     1.72 mm   778.86 um  
 375.00 MeV   2.518E-02  9.940E-06   48.50 mm     1.89 mm   876.44 um  
 400.00 MeV   2.401E-02  9.369E-06   54.36 mm     2.07 mm   978.45 um  
 450.00 MeV   2.203E-02  8.409E-06   66.90 mm     2.74 mm     1.20 mm  
 500.00 MeV   2.043E-02  7.633E-06   80.49 mm     3.36 mm     1.43 mm  
 550.00 MeV   1.911E-02  6.993E-06   95.09 mm     3.96 mm     1.68 mm  
 600.00 MeV   1.799E-02  6.455E-06  110.64 mm     4.54 mm     1.94 mm  
 650.00 MeV   1.704E-02  5.997E-06  127.11 mm     5.12 mm     2.21 mm  
 700.00 MeV   1.622E-02  5.601E-06  144.46 mm     5.69 mm     2.50 mm  
 800.00 MeV   1.488E-02  4.953E-06  181.59 mm     7.77 mm     3.11 mm  
 900.00 MeV   1.382E-02  4.443E-06  221.81 mm     9.66 mm     3.76 mm  
   1.00 GeV   1.297E-02  4.031E-06  264.89 mm    11.45 mm     4.44 mm  
   1.10 GeV   1.228E-02  3.692E-06  310.60 mm    13.18 mm     5.16 mm  
   1.20 GeV   1.169E-02  3.407E-06  358.75 mm    14.87 mm     5.91 mm  
   1.30 GeV   1.120E-02  3.164E-06  409.16 mm    16.52 mm     6.68 mm  
   1.40 GeV   1.078E-02  2.954E-06  461.67 mm    18.15 mm     7.47 mm  
   1.50 GeV   1.041E-02  2.771E-06  516.13 mm    19.76 mm     8.28 mm  
   1.60 GeV   1.009E-02  2.611E-06  572.41 mm    21.34 mm     9.11 mm  
   1.70 GeV   9.810E-03  2.468E-06  630.39 mm    22.90 mm     9.96 mm  
   1.80 GeV   9.561E-03  2.341E-06  689.95 mm    24.44 mm    10.81 mm  
   2.00 GeV   9.142E-03  2.123E-06  813.37 mm    30.11 mm    12.56 mm  
   2.25 GeV   8.728E-03  1.903E-06  974.85 mm    37.88 mm    14.79 mm  
   2.50 GeV   8.404E-03  1.726E-06    1.14 m     44.83 mm    17.06 mm  
   2.75 GeV   8.145E-03  1.580E-06    1.32 m     51.25 mm    19.35 mm  
   3.00 GeV   7.934E-03  1.457E-06    1.50 m     57.27 mm    21.65 mm  
   3.25 GeV   7.761E-03  1.353E-06    1.68 m     62.98 mm    23.95 mm  
   3.50 GeV   7.618E-03  1.263E-06    1.87 m     68.42 mm    26.25 mm  
   3.75 GeV   7.498E-03  1.184E-06    2.06 m     73.64 mm    28.53 mm  
   4.00 GeV   7.397E-03  1.115E-06    2.25 m     78.65 mm    30.81 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7326E+01                 eV / Angstrom 
  1.7326E+02                keV / micron   
  1.7326E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.6662E+01                 eV / (1E15 atoms/cm2)
  3.2902E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
