 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\14C_70Zn.txt

 Ion = Carbon [6] , Mass = 14.003 amu

 Target Density =  7.1400E+00 g/cm3 = 6.1490E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  37.50 MeV   2.051E+00  1.442E-03   21.41 um     7731 A      7788 A   
  40.00 MeV   1.989E+00  1.363E-03   23.14 um     8172 A      8095 A   
  45.00 MeV   1.875E+00  1.231E-03   26.76 um     9758 A      8734 A   
  50.00 MeV   1.773E+00  1.124E-03   30.60 um     1.13 um     9408 A   
  55.00 MeV   1.680E+00  1.034E-03   34.65 um     1.28 um     1.01 um  
  60.00 MeV   1.597E+00  9.587E-04   38.92 um     1.42 um     1.09 um  
  65.00 MeV   1.521E+00  8.940E-04   43.41 um     1.57 um     1.16 um  
  70.00 MeV   1.452E+00  8.380E-04   48.11 um     1.72 um     1.25 um  
  80.00 MeV   1.332E+00  7.455E-04   58.17 um     2.25 um     1.42 um  
  90.00 MeV   1.230E+00  6.723E-04   69.10 um     2.75 um     1.61 um  
 100.00 MeV   1.144E+00  6.128E-04   80.90 um     3.24 um     1.81 um  
 110.00 MeV   1.069E+00  5.635E-04   93.55 um     3.73 um     2.03 um  
 120.00 MeV   1.004E+00  5.218E-04  107.06 um     4.21 um     2.26 um  
 130.00 MeV   9.472E-01  4.862E-04  121.40 um     4.70 um     2.51 um  
 140.00 MeV   8.969E-01  4.554E-04  136.59 um     5.19 um     2.77 um  
 150.00 MeV   8.522E-01  4.284E-04  152.59 um     5.69 um     3.04 um  
 160.00 MeV   8.123E-01  4.046E-04  169.41 um     6.20 um     3.33 um  
 170.00 MeV   7.763E-01  3.834E-04  187.03 um     6.71 um     3.63 um  
 180.00 MeV   7.438E-01  3.644E-04  205.45 um     7.24 um     3.94 um  
 200.00 MeV   6.873E-01  3.319E-04  244.60 um     9.17 um     4.60 um  
 225.00 MeV   6.293E-01  2.988E-04  297.80 um    11.94 um     5.50 um  
 250.00 MeV   5.816E-01  2.720E-04  355.64 um    14.55 um     6.46 um  
 275.00 MeV   5.416E-01  2.498E-04  417.99 um    17.10 um     7.50 um  
 300.00 MeV   5.076E-01  2.311E-04  484.73 um    19.62 um     8.61 um  
 325.00 MeV   4.782E-01  2.152E-04  555.75 um    22.13 um     9.77 um  
 350.00 MeV   4.524E-01  2.014E-04  630.98 um    24.65 um    11.01 um  
 375.00 MeV   4.296E-01  1.893E-04  710.35 um    27.19 um    12.30 um  
 400.00 MeV   4.092E-01  1.786E-04  793.79 um    29.76 um    13.66 um  
