============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1(  271 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   90  2 .4605422E+06   2714814E-04  .4998E+03 -.9133E+01   .4663625  .8845827 -.0044130
T   91  2 .4535526E+06   2719786E-04  .5052E+03 -.1187E+02   .4556036  .8889380 -.0470591
T   92  2 .4619791E+06   2720865E-04  .4748E+03 -.2824E+01   .5039514  .8630606 -.0340497
T   93  2 .4636170E+06   2710340E-04  .4670E+03  .1962E+01   .5324928  .8463075  .0146621
T   94  2 .4602910E+06   2725192E-04  .4749E+03 -.8709E+01   .4862021  .8731713 -.0343427
T   95  2 .4639039E+06   2716463E-04  .4851E+03 -.1796E+02   .4639159  .8845228 -.0490052
T   96  2 .4689970E+06   2712964E-04  .4684E+03 -.2290E+00   .5102641  .8513032 -.1221205
T   97  2 .4644273E+06   2711817E-04  .4653E+03 -.4468E+01   .5013238  .8651394  .0144338
T   98  2 .4603296E+06   2716596E-04  .4471E+03  .2335E+01   .5540652  .8322827  .0178115
T   99  2 .4667551E+06   2727902E-04  .4702E+03  .3538E+01   .5038146  .8631090  .0348374
T  100  2 .4645711E+06   2712940E-04  .4702E+03 -.7463E+01   .5149591  .8565705 -.0332276
T  101  2 .4583758E+06   2714567E-04  .4809E+03 -.1024E+02   .4917070  .8702962 -.0284392
T  102  2 .4591642E+06   2713964E-04  .4641E+03  .4282E+01   .5308145  .8474355  .0094360
T  103  2 .4656482E+06   2710082E-04  .4960E+03 -.1337E+02   .4826442  .8737338 -.0603643
