 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 05, 2013 
 ==================================================================

 Disk File Name = SRIM Outputs\16O_12C.txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  65.00 MeV   4.817E+00  2.719E-03   42.93 um     1.48 um     4213 A   
  70.00 MeV   4.599E+00  2.546E-03   47.64 um     1.62 um     4521 A   
  80.00 MeV   4.216E+00  2.261E-03   57.72 um     2.16 um     5177 A   
  90.00 MeV   3.890E+00  2.036E-03   68.68 um     2.66 um     5886 A   
 100.00 MeV   3.610E+00  1.854E-03   80.52 um     3.15 um     6648 A   
 110.00 MeV   3.368E+00  1.703E-03   93.25 um     3.63 um     7464 A   
 120.00 MeV   3.158E+00  1.576E-03  106.86 um     4.12 um     8333 A   
 130.00 MeV   2.974E+00  1.467E-03  121.34 um     4.60 um     9254 A   
 140.00 MeV   2.812E+00  1.373E-03  136.68 um     5.09 um     1.02 um  
 150.00 MeV   2.668E+00  1.291E-03  152.88 um     5.59 um     1.13 um  
 160.00 MeV   2.541E+00  1.218E-03  169.93 um     6.09 um     1.23 um  
 170.00 MeV   2.427E+00  1.154E-03  187.79 um     6.60 um     1.35 um  
 180.00 MeV   2.325E+00  1.096E-03  206.47 um     7.12 um     1.46 um  
 200.00 MeV   2.150E+00  9.970E-04  246.18 um     9.08 um     1.71 um  
 225.00 MeV   1.972E+00  8.967E-04  300.07 um    11.87 um     2.05 um  
 250.00 MeV   1.828E+00  8.156E-04  358.50 um    14.47 um     2.41 um  
 275.00 MeV   1.708E+00  7.484E-04  421.29 um    17.00 um     2.80 um  
 300.00 MeV   1.605E+00  6.919E-04  488.30 um    19.48 um     3.21 um  
 325.00 MeV   1.515E+00  6.436E-04  559.44 um    21.94 um     3.64 um  
 350.00 MeV   1.433E+00  6.019E-04  634.74 um    24.40 um     4.09 um  
 375.00 MeV   1.358E+00  5.655E-04  714.26 um    26.89 um     4.57 um  
 400.00 MeV   1.287E+00  5.334E-04  798.17 um    29.41 um     5.07 um  
 450.00 MeV   1.154E+00  4.794E-04  980.29 um    39.14 um     6.16 um  
 500.00 MeV   1.041E+00  4.357E-04    1.18 mm    48.54 um     7.35 um  
 550.00 MeV   9.639E-01  3.996E-04    1.40 mm    57.82 um     8.66 um  
 600.00 MeV   8.983E-01  3.692E-04    1.64 mm    66.99 um    10.06 um  
 650.00 MeV   8.421E-01  3.433E-04    1.90 mm    76.14 um    11.56 um  
 700.00 MeV   7.933E-01  3.209E-04    2.17 mm    85.33 um    13.15 um  
 800.00 MeV   7.127E-01  2.841E-04    2.76 mm   119.50 um    16.61 um  
 900.00 MeV   6.489E-01  2.552E-04    3.41 mm   151.13 um    20.41 um  
   1.00 GeV   5.970E-01  2.318E-04    4.13 mm   181.82 um    24.54 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.2529E+01                 eV / Angstrom 
  2.2529E+02                keV / micron   
  2.2529E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  2.3233E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
