 ==================================================================
              SRIM version ---> SRIM-2012.03
              Calc. date   ---> March 17, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\60Fe_CD2.txt

 Ion = Iron [26] , Mass = 59.934 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0476E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   4.562E+01  1.433E-01   14.77 um     4619 A      5204 A   
  35.00 MeV   4.629E+01  1.348E-01   15.35 um     4699 A      5239 A   
  37.50 MeV   4.682E+01  1.273E-01   15.92 um     4776 A      5271 A   
  40.00 MeV   4.723E+01  1.206E-01   16.49 um     4849 A      5301 A   
  45.00 MeV   4.775E+01  1.093E-01   17.62 um     5116 A      5356 A   
  50.00 MeV   4.798E+01  1.001E-01   18.74 um     5365 A      5407 A   
  55.00 MeV   4.800E+01  9.238E-02   19.86 um     5601 A      5454 A   
  60.00 MeV   4.785E+01  8.585E-02   20.98 um     5828 A      5498 A   
  65.00 MeV   4.760E+01  8.023E-02   22.10 um     6048 A      5539 A   
  70.00 MeV   4.726E+01  7.535E-02   23.24 um     6263 A      5580 A   
  80.00 MeV   4.643E+01  6.728E-02   25.53 um     7063 A      5656 A   
  90.00 MeV   4.548E+01  6.085E-02   27.86 um     7807 A      5729 A   
 100.00 MeV   4.449E+01  5.561E-02   30.25 um     8514 A      5800 A   
 110.00 MeV   4.349E+01  5.125E-02   32.69 um     9196 A      5870 A   
 120.00 MeV   4.251E+01  4.756E-02   35.19 um     9859 A      5939 A   
 130.00 MeV   4.226E+01  4.440E-02   37.73 um     1.05 um     6008 A   
 140.00 MeV   4.175E+01  4.165E-02   40.28 um     1.11 um     6075 A   
 150.00 MeV   4.093E+01  3.924E-02   42.88 um     1.17 um     6143 A   
 160.00 MeV   4.006E+01  3.711E-02   45.53 um     1.23 um     6211 A   
 170.00 MeV   3.924E+01  3.522E-02   48.24 um     1.29 um     6280 A   
 180.00 MeV   3.847E+01  3.351E-02   51.01 um     1.35 um     6350 A   
 200.00 MeV   3.704E+01  3.058E-02   56.70 um     1.57 um     6493 A   
 225.00 MeV   3.546E+01  2.760E-02   64.12 um     1.89 um     6678 A   
 250.00 MeV   3.405E+01  2.518E-02   71.85 um     2.18 um     6870 A   
 275.00 MeV   3.278E+01  2.317E-02   79.89 um     2.46 um     7071 A   
 300.00 MeV   3.162E+01  2.147E-02   88.24 um     2.73 um     7280 A   
 325.00 MeV   3.056E+01  2.002E-02   96.88 um     3.00 um     7498 A   
 350.00 MeV   2.958E+01  1.876E-02  105.82 um     3.25 um     7725 A   
 375.00 MeV   2.867E+01  1.765E-02  115.05 um     3.50 um     7961 A   
 400.00 MeV   2.782E+01  1.668E-02  124.56 um     3.76 um     8206 A   
 450.00 MeV   2.628E+01  1.503E-02  144.44 um     4.69 um     8724 A   
 500.00 MeV   2.490E+01  1.370E-02  165.46 um     5.56 um     9278 A   
 550.00 MeV   2.367E+01  1.259E-02  187.60 um     6.38 um     9868 A   
 600.00 MeV   2.255E+01  1.166E-02  210.86 um     7.18 um     1.05 um  
 650.00 MeV   2.154E+01  1.086E-02  235.25 um     7.97 um     1.12 um  
 700.00 MeV   2.061E+01  1.017E-02  260.77 um     8.75 um     1.18 um  
 800.00 MeV   1.897E+01  9.030E-03  315.16 um    11.65 um     1.33 um  
 900.00 MeV   1.757E+01  8.131E-03  374.05 um    14.33 um     1.50 um  
   1.00 GeV   1.638E+01  7.402E-03  437.44 um    16.90 um     1.67 um  
   1.10 GeV   1.534E+01  6.798E-03  505.27 um    19.44 um     1.86 um  
   1.20 GeV   1.445E+01  6.289E-03  577.49 um    21.96 um     2.06 um  
   1.30 GeV   1.366E+01  5.854E-03  654.03 um    24.49 um     2.27 um  
   1.40 GeV   1.297E+01  5.478E-03  734.79 um    27.03 um     2.50 um  
   1.50 GeV   1.237E+01  5.150E-03  819.66 um    29.58 um     2.73 um  
   1.60 GeV   1.183E+01  4.860E-03  908.52 um    32.14 um     2.98 um  
   1.70 GeV   1.136E+01  4.602E-03    1.00 mm    34.72 um     3.23 um  
   1.80 GeV   1.094E+01  4.372E-03    1.10 mm    37.30 um     3.50 um  
   2.00 GeV   1.013E+01  3.977E-03    1.30 mm    47.20 um     4.05 um  
   2.25 GeV   9.291E+00  3.576E-03    1.58 mm    61.37 um     4.81 um  
   2.50 GeV   8.597E+00  3.252E-03    1.88 mm    74.69 um     5.62 um  
   2.75 GeV   8.013E+00  2.984E-03    2.20 mm    87.63 um     6.48 um  
   3.00 GeV   7.513E+00  2.759E-03    2.55 mm   100.42 um     7.41 um  
   3.25 GeV   7.081E+00  2.566E-03    2.92 mm   113.15 um     8.38 um  
