============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  131  2 .3774871E+06   1846483E-03 -.5417E+02 -.1195E+03   .8170541  .5311506 -.2242804
T  132  2 .3907277E+06   1854530E-03 -.7995E+02 -.1525E+03   .9983735 -.0284308 -.0494177
T  133  2 .3896544E+06   1848822E-03  .5924E+02 -.3027E+01   .9942634  .0710029 -.0799924
T  134  2 .3597069E+06   1847845E-03 -.1971E+03 -.5964E+03   .8018325 -.1493866 -.5785744
T  135  2 .3810489E+06   1846244E-03  .1442E+02  .6169E+02   .9949840  .0444898  .0895965
T  136  2 .3928842E+06   1850179E-03 -.1562E+03 -.1149E+03   .9869844 -.1603810 -.0118242
T  137  2 .3966321E+06   1846790E-03  .1977E+02 -.7131E+01   .9996309  .0234851 -.0136569
T  138  2 .3933000E+06   1847671E-03  .2523E+03 -.7714E+01   .9601055  .2796216 -.0030368
T  139  2 .3847449E+06   1855187E-03 -.1616E+03  .9327E+02   .9869637 -.1006590  .1255807
T  140  2 .3942137E+06   1848113E-03 -.8970E+02 -.1105E+03   .9984294 -.0343302 -.0442738
T  141  2 .3844392E+06   1853756E-03  .1652E+03 -.6115E+02   .9646973  .2458621  .0943979
T  142  2 .3863872E+06   1849089E-03 -.1976E+02  .4134E+02   .9716282 -.2345484  .0304253
T  143  2 .3683010E+06   1857962E-03 -.2955E+03 -.1472E+03   .8750294 -.4672804 -.1263822
T  144  2 .3777521E+06   1857343E-03 -.2029E+03  .2578E+02   .7303123 -.6093952  .3086769
T  145  2 .3847513E+06   1854918E-03  .7281E+02 -.1374E+02   .9930110  .1177678  .0077420
T  146  2 .3912683E+06   1847921E-03 -.5981E+02 -.4564E+02   .9951368 -.0936252 -.0306110
T  147  2 .3850625E+06   1846967E-03  .1227E+02  .8395E+02   .9982767 -.0067658  .0582916
T  148  2 .3784344E+06   1858664E-03 -.4097E+02  .4065E+02   .9947594 -.0295822  .0978706
T  149  2 .3902466E+06   1847094E-03 -.4175E+02  .6007E+02   .9985128 -.0510968 -.0190079
T  150  2 .3768797E+06   1849153E-03  .9992E+02  .7992E+02   .9753430  .1330270  .1760961
T  151  2 .3777178E+06   1847998E-03  .2309E+01  .5156E+02   .9998096  .0164602  .0104771
T  152  2 .3730670E+06   1851113E-03  .1781E+02 -.1562E+02   .9996923  .0246279 -.0029546
T  153  2 .3794510E+06   1847566E-03 -.4261E+02 -.1548E+02   .9974644 -.0372631  .0606315
T  154  2 .3839011E+06   1853674E-03 -.2526E+02 -.5212E+02   .9968568 -.0300109 -.0733197
T  155  2 .3830358E+06   1846101E-03 -.8181E+02  .2209E+03   .9777378 -.0075471  .2096944
T  156  2 .3777817E+06   1860403E-03 -.4849E+02 -.9730E+02   .9958539 -.0411201 -.0811423
T  157  2 .3719670E+06   1850957E-03 -.7642E+02  .5852E+02   .9675764 -.2517793 -.0200768
T  158  2 .3688418E+06   1861313E-03  .8640E+02 -.6898E+02   .9922046  .0737086 -.1004843
T  159  2 .3891535E+06   1848337E-03  .8094E+02 -.5488E+02   .9497993  .2851047 -.1288274
T  160  2 .3938085E+06   1851083E-03  .1226E+03  .1289E+03   .9682081  .1428209  .2053662
T  161  2 .3690401E+06   1854218E-03  .1806E+02  .3960E+02   .9984806  .0072647  .0546231
T  162  2 .3885854E+06   1858325E-03  .2328E+02  .7988E+02   .9412369 -.1574682  .2987922
T  163  2 .3697702E+06   1860669E-03  .3685E+03 -.3958E+02   .9801064  .1937813 -.0428986
T  164  2 .3838533E+06   1851437E-03 -.2711E+01 -.5615E+02   .9972791  .0436944 -.0593738
T  165  2 .3937254E+06   1849094E-03  .8557E+02 -.9064E+02   .9847850  .1441222 -.0970940
T  166  2 .3868407E+06   1847056E-03 -.8725E+02  .6204E+02   .9903508 -.0642655  .1227810
T  167  2 .3847960E+06   1846842E-03 -.8622E+02 -.2662E+03   .9910150 -.0854643 -.1028842
T  168  2 .3902792E+06   1846305E-03  .1501E+02  .2205E+02   .9973039  .0190045  .0708781
T  169  2 .3863647E+06   1857087E-03 -.4249E+02  .2949E+02   .9956971 -.0890190  .0257471
T  170  2 .3694524E+06   1848147E-03  .1182E+03  .2793E+02   .9994034  .0344975 -.0016923
T  171  2 .3671093E+06   1846447E-03  .2477E+02  .4246E+02   .9914300  .0968341  .0876910
T  172  2 .3743967E+06   1848701E-03 -.8159E+01  .5048E+02   .9981683 -.0584487  .0156161
T  173  2 .3909129E+06   1855626E-03 -.7670E+02 -.2914E+02   .9991305  .0229370 -.0348166
T  174  2 .3854293E+06   1850526E-03 -.4717E+02 -.4519E+02   .9866184 -.1235885 -.1063482
T  175  2 .3838727E+06   1847067E-03 -.2508E+02  .8209E+01   .9995034 -.0307035  .0070854
T  176  2 .3711417E+06   1861636E-03 -.4970E+02 -.5911E+02   .9706393 -.2400522 -.0153081
T  177  2 .3830832E+06   1861137E-03 -.4711E+02 -.1715E+02   .9984286  .0534976  .0166834
T  178  2 .3836153E+06   1849389E-03 -.7774E+02  .3310E+02   .9858322 -.1521200 -.0706706
T  179  2 .3644003E+06   1853195E-03 -.2316E+02 -.1195E+02   .9970024 -.0418169 -.0650964
T  180  2 .3836650E+06   1849365E-03 -.1663E+02  .2238E+02   .9992110 -.0344247  .0198070
T  181  2 .3838898E+06   1854463E-03 -.8360E+02 -.4821E+02   .9960814 -.0539851 -.0700531
T  182  2 .3710598E+06   1848869E-03 -.2946E+03  .8162E+03   .8386357 -.1779520  .5148042
T  183  2 .3942775E+06   1846276E-03  .9288E+02  .1692E+03   .9316775  .2023522  .3017130
T  184  2 .3894249E+06   1847628E-03 -.6940E+02  .5061E+02   .9985132 -.0042097  .0543474
T  185  2 .3843229E+06   1861962E-03  .1079E+03 -.6496E+02   .9809704  .1938448  .0110166
T  186  2 .3712270E+06   1856079E-03 -.9450E+02  .1876E+03   .9783895 -.0797404  .1907760
T  187  2 .3881777E+06   1852112E-03 -.3810E+02  .7893E+02   .9859059  .0372554  .1631000
T  188  2 .3796474E+06   1850890E-03  .8129E+02 -.3181E+02   .9979138  .0629677  .0142520
T  189  2 .3936191E+06   1849720E-03 -.4924E+02  .1272E+02   .9962988 -.0829542  .0225227
T  190  2 .3814818E+06   1854823E-03  .1395E+03 -.1814E+02   .9856566  .1652345  .0343325
T  191  2 .3914260E+06   1848409E-03 -.8316E+02 -.7337E+02   .9910071 -.1302097 -.0308272
T  192  2 .3897053E+06   1860393E-03  .7700E+02 -.1246E+03   .9653765 -.0005277 -.2608599
T  193  2 .3906413E+06   1846912E-03  .2727E+02  .2437E+02   .9988616  .0460762  .0123488
T  194  2 .3825444E+06   1846693E-03  .2468E+03 -.3263E+02   .9884378  .1510960 -.0126795
T  195  2 .3957918E+06   1858587E-03 -.3320E+02  .5243E+02   .9528970 -.1391428  .2694932
T  196  2 .3795230E+06   1855484E-03  .4718E+02  .1032E+01   .9961068  .0553723  .0685941
T  197  2 .3843684E+06   1856184E-03  .4383E+03  .5277E+01   .9465382  .3225122 -.0071668
T  198  2 .3755668E+06   1848977E-03  .1737E+03  .5871E+02   .9787629  .2034410  .0251965
T  199  2 .3837666E+06   1859582E-03  .1882E+03  .1360E+03   .9617957  .1966268  .1904912
T  200  2 .3684462E+06   1855210E-03  .3662E+02  .3102E+02   .9961210  .0509899 -.0717149
T  201  2 .3861920E+06   1851703E-03 -.8527E+02  .2188E+02   .9989584  .0087066 -.0447917
T  202  2 .3744564E+06   1848479E-03  .1867E+02  .1897E+03   .9858002 -.0152938  .1672247
T  203  2 .3914500E+06   1855588E-03  .9269E+02  .5830E+02   .9938348  .1074381  .0273744
T  204  2 .3769255E+06   1850548E-03 -.5393E+02 -.7338E+02   .9961631 -.0875165  .0000858
T  205  2 .3738721E+06   1858218E-03  .7929E+02 -.3141E+02   .9983459  .0372115 -.0438259
T  206  2 .3622722E+06   1848765E-03  .4321E+03  .6428E+03   .9019951  .2063465  .3792441
T  207  2 .3971116E+06   1846245E-03  .3375E+02  .1117E+02   .9975783  .0412080  .0560302
T  208  2 .3859077E+06   1847940E-03  .7655E+02  .2394E+02   .9926436  .1190885  .0218329
T  209  2 .3916404E+06   1846155E-03  .4788E+02  .2029E+02   .9908212  .0922246 -.0988327
