============================== SRIM-2003.26 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.  NOTE: Use hotkey  C  for details.=
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Layer 1( 1846 A) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   83  1 .4752468E+06   1852498E-03  .1826E+03 -.1636E+02   .9909885  .1315562 -.0251943
T   84  1 .4742975E+06   1856005E-03  .1149E+03  .3210E+02   .9992105  .0250443  .0308406
T   85  1 .4651648E+06   1850342E-03  .1219E+03 -.1965E+02   .9986147  .0426008 -.0308844
T   86  1 .4703824E+06   1847584E-03  .1230E+03 -.7123E+01   .9973694  .0724747  .0013259
T   87  1 .4700401E+06   1856771E-03  .2234E+03  .2930E+02   .9874259  .1580234 -.0043350
T   88  1 .4653761E+06   1851181E-03  .1462E+03 -.4454E+02   .9938122  .0077942 -.1107992
T   89  1 .4679042E+06   1848965E-03  .1476E+03 -.1785E+02   .9908550  .1343596 -.0124020
T   90  1 .4662194E+06   1850067E-03  .3008E+03  .3822E+02   .9728675  .2312205  .0081119
T   91  1 .4685818E+06   1847077E-03  .1617E+03 -.2803E+02   .9739769  .2041575 -.0984314
T   92  1 .4665240E+06   1863227E-03  .1828E+03  .3196E+02   .9947417  .1022917 -.0050394
T   93  1 .4620592E+06   1850912E-03  .9462E+02 -.2681E+02   .9989127  .0078176 -.0459602
T   94  1 .4704248E+06   1849747E-03  .2059E+03  .1947E+02   .9913020  .1264716  .0364044
T   95  1 .4699012E+06   1855121E-03  .1624E+03 -.1190E+02   .9995438  .0248903 -.0171097
T   96  1 .4731348E+06   1852891E-03  .1671E+03 -.2739E+01   .9927302  .0385798 -.1140105
T   97  1 .4701098E+06   1854149E-03  .1453E+03  .2124E+02   .9954044  .0694508  .0659288
T   98  1 .4745737E+06   1856543E-03  .1821E+03 -.9946E+02   .9841322  .1170000 -.1333971
T   99  1 .4694634E+06   1855147E-03  .1703E+03  .1944E+02   .9974800  .0704929 -.0080268
T  100  1 .4687205E+06   1862404E-03  .1349E+03 -.1227E+02   .9968016  .0789258 -.0125451
T  101  1 .4676949E+06   1855508E-03  .2063E+03  .3927E+02   .9776708  .2043981  .0487976
T  102  1 .4661821E+06   1849012E-03  .1265E+03 -.1055E+01   .9994832  .0320522  .0024303
T  103  1 .4648515E+06   1856643E-03  .1423E+03  .2310E+02   .9981057  .0520839  .0327454
T  104  1 .4715711E+06   1849457E-03  .1897E+03 -.4365E+01   .9918072  .1267530  .0158788
T  105  1 .4701874E+06   1849119E-03  .1669E+03 -.3613E+02   .9922995  .1143658 -.0475621
T  106  1 .4620403E+06   1847368E-03  .1613E+03 -.5223E+02   .9939277  .0765073 -.0790843
T  107  1 .4710737E+06   1856490E-03  .1469E+03  .3756E+02   .9981596  .0584854  .0160302
T  108  1 .4634871E+06   1846119E-03  .1588E+03  .3895E+02   .9922617  .1106374  .0563562
T  109  1 .4699114E+06   1852164E-03  .2024E+03  .6124E+02   .9836989  .1427030  .1094186
T  110  1 .4687905E+06   1862178E-03  .1758E+03  .4720E+01   .9918494  .1264343  .0157820
T  111  1 .4796099E+06   1860184E-03  .1377E+03  .2615E+02   .9992721  .0311813  .0219767
T  112  1 .4739595E+06   1854444E-03  .1487E+03 -.5078E+02   .9975252  .0571413 -.0409665
T  113  1 .4643361E+06   1848138E-03  .1922E+03 -.5144E+02   .9970549  .0766056 -.0036131
T  114  1 .4659643E+06   1854802E-03  .1713E+03  .2367E+02   .9948973  .0929133  .0393251
T  115  1 .4728350E+06   1846638E-03  .1471E+03  .1808E+02   .9957883  .0804204  .0440257
